# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
C3orf35            3   37426477   37476988     25       5  238755      -2.1976   -5.3413e-05      -2.1976
ITGA9              3   37493813   37861281    417      52  240985       1.6771   -5.3413e-05       1.6771
CTDSPL             3   37903669   38025960     70       8  239231       4.5406   -5.3413e-05       4.5406
VILL               3   38032217   38048676      7       1  240425       5.6171   -5.3413e-05       5.6171
PLCD1              3   38048987   38071154     14       3  236534       3.1811   -5.3413e-05       3.1812
DLEC1              3   38080497   38164228     45       6  244541      -0.8439   -5.3413e-05     -0.84385
ACAA1              3   38164201   38178733      5       2  246982     -0.83365   -5.3413e-05     -0.83359
MYD88              3   38179969   38184513      3       2  245044     -0.44193   -5.3413e-05     -0.44187
OXSR1              3   38207022   38296979     24       5  240050      0.44162   -5.3413e-05      0.44167
SLC22A13           3   38307298   38320161      8       2  238926       1.0107   -5.3413e-05       1.0108
SLC22A14           3   38323785   38360064     25       4  238634     -0.78564   -5.3413e-05     -0.78559
XYLB               3   38388251   38456467     77       9  240106      0.77407   -5.3413e-05      0.77412
ACVR2B             3   38495790   38534633     32       3  247998     -0.69128   -5.3413e-05     -0.69122
EXOG               3   38537763   38583721     57       6  247881      -1.4068   -5.3413e-05      -1.4067
SCN5A              3   38589553   38691164     91      22  242794     -0.58273   -5.3413e-05     -0.58268
SCN10A             3   38738837   38835501     93      16  243304      -1.5458   -5.3413e-05      -1.5457
SCN11A             3   38887260   38995136     86      10  233072     0.073166   -5.3413e-05     0.073219
WDR48              3   39093477   39138155     36       7  240369      -1.3777   -5.3413e-05      -1.3776
GORASP1            3   39138090   39149854     13       4  244588     -0.82501   -5.3413e-05     -0.82495
TTC21A             3   39149152   39180394     39       4  238184      0.22134   -5.3413e-05       0.2214
CSRNP1             3   39183342   39196093      9       3  239775      0.49181   -5.3413e-05      0.49187
XIRP1              3   39224706   39234112      5       2  249958      -2.1352   -5.3413e-05      -2.1352
CX3CR1             3   39304985   39323226     18       6  233747     -0.15608   -5.3413e-05     -0.15603
CCR8               3   39371197   39375171      2       1  229626       -1.686   -5.3413e-05      -1.6859
SLC25A38           3   39424815   39438819      7       2  250217     -0.45945   -5.3413e-05      -0.4594
RPSA               3   39448204   39454033      7       2  252544     0.031579   -5.3413e-05     0.031632
MOBP               3   39509064   39570988    152       7  241192     -0.93826   -5.3413e-05      -0.9382
MYRIP              3   39850405   40301812    454      40  238532      -1.1254   -5.3413e-05      -1.1254
EIF1B              3   40351173   40353915      3       1  252641      -1.4949   -5.3413e-05      -1.4948
ENTPD3             3   40428647   40470110     32       2  248031      -1.6481   -5.3413e-05      -1.6481
RPL14              3   40498783   40503863      3       1  253151      -1.5615   -5.3413e-05      -1.5615
ZNF619             3   40518604   40531728      6       1  233634      -1.7772   -5.3413e-05      -1.7771
ZNF620             3   40547450   40559712      3       1  252326      -0.9919   -5.3413e-05     -0.99185
ZNF621             3   40566376   40581043      4       2  169337      0.33525   -5.3413e-05       0.3353
CTNNB1             3   41236401   41281939     33       4  226979       3.9213   -5.3413e-05       3.9213
ULK4               3   41288090   42056080    629      30  233977      0.79912   -5.3413e-05      0.79917
TRAK1              3   42055294   42267382    174      23  245655     -0.47068   -5.3413e-05     -0.47062
CCK                3   42299315   42307662     14       4  235475     -0.51379   -5.3413e-05     -0.51373
LYZL4              3   42438575   42452125     12       3  234766      0.11044   -5.3413e-05       0.1105
VIPR1              3   42530791   42579065     37      10  226230      -2.0248   -5.3413e-05      -2.0247
SEC22C             3   42589459   42642572     26       4  242580      -1.3377   -5.3413e-05      -1.3377
SS18L2             3   42623332   42636490      2       1  247118      -1.3329   -5.3413e-05      -1.3328
NKTR               3   42642147   42690233     32       4  245771     -0.49575   -5.3413e-05      -0.4957
ZBTB47             3   42695176   42709072      5       2  245007     -0.46451   -5.3413e-05     -0.46446
KLHL40             3   42727011   42733938      6       3  214957      -2.3184   -5.3413e-05      -2.3184
HHATL              3   42734155   42744319      7       2  243563     -0.65314   -5.3413e-05     -0.65309
CCDC13             3   42749764   42814745     54       7  241368      -2.7918   -5.3413e-05      -2.7918
HIGD1A             3   42824400   42846027      6       2  250370      -2.6646   -5.3413e-05      -2.6646
ACKR2              3   42850964   42908775     37       5  240113     -0.15376   -5.3413e-05      -0.1537
CYP8B1             3   42913684   42917633      4       1  251408       1.0576   -5.3413e-05       1.0576
ZNF662             3   42947402   42960825      6       2  230382       1.9211   -5.3413e-05       1.9211
KRBOX1             3   42977834   42984284      3       1  252330       1.6678   -5.3413e-05       1.6678
FAM198A            3   43020759   43099207     97      11  243984       2.1078   -5.3413e-05       2.1078
POMGNT2            3   43120721   43147575     20       5  243712       1.2048   -5.3413e-05       1.2048
SNRK               3   43328004   43392635     24       6  232877     -0.25129   -5.3413e-05     -0.25124
ANO10              3   43407818   43663560    146      13  238937      -0.5424   -5.3413e-05     -0.54234
ABHD5              3   43732375   43764217     24       3  241739     -0.60025   -5.3413e-05     -0.60019
TOPAZ1             3   44283378   44373590     69       7  244098      -1.2042   -5.3413e-05      -1.2042
TCAIM              3   44379574   44450940     35       3  249793      -2.0416   -5.3413e-05      -2.0415
ZNF445             3   44481262   44519162     16       3  228848      -2.3663   -5.3413e-05      -2.3662
ZNF852             3   44539924   44552222      3       1  251063      -1.5919   -5.3413e-05      -1.5918
ZKSCAN7            3   44596667   44624975     15       2  240242      -2.0314   -5.3413e-05      -2.0314
ZNF660             3   44626456   44641186      3       2  252840      -1.9948   -5.3413e-05      -1.9947
ZNF197             3   44666511   44689963     12       2  252833      -1.7162   -5.3413e-05      -1.7161
ZNF35              3   44690108   44702283      4       2  238003      -2.1935   -5.3413e-05      -2.1934
ZNF502             3   44754135   44765323      4       2  223499      -1.7832   -5.3413e-05      -1.7831
ZNF501             3   44771098   44778575      5       1  230866      -1.8149   -5.3413e-05      -1.8148
KIAA1143           3   44790236   44803173      5       2  242048      -2.7503   -5.3413e-05      -2.7503
KIF15              3   44803209   44894748     20       3  249367      -2.4058   -5.3413e-05      -2.4057
TMEM42             3   44903408   44907156      1       1  251239      -1.2065   -5.3413e-05      -1.2065
TGM4               3   44916098   44956093     39       6  232811      0.34597   -5.3413e-05      0.34602
ZDHHC3             3   44956753   45017674     27       2  243300      0.65452   -5.3413e-05      0.65457
EXOSC7             3   45017741   45054160     21       3  248408       1.0367   -5.3413e-05       1.0367
CLEC3B             3   45067759   45077563     13       2  252376       0.7318   -5.3413e-05      0.73186
CDCP1              3   45123766   45187914     68      24  225111      -1.1883   -5.3413e-05      -1.1882
TMEM158            3   45265956   45267814      1       1  196943      -1.1734   -5.3413e-05      -1.1734
LARS2              3   45430053   45590334    124      13  243137      -2.1559   -5.3413e-05      -2.1559
LIMD1              3   45636323   45722755     81      13  241472       -1.046   -5.3413e-05      -1.0459
SACM1L             3   45730754   45786901     78       5  238965      -1.0021   -5.3413e-05      -1.0021
SLC6A20            3   45796941   45838039     51      17  230192      -2.9689   -5.3413e-05      -2.9688
LZTFL1             3   45864808   45957216     58      14  245244      0.78117   -5.3413e-05      0.78122
CCR9               3   45927996   45944667     14       5  245381       0.6413   -5.3413e-05      0.64135
FYCO1              3   45959391   46037316     76       9  247046       1.5339   -5.3413e-05        1.534
CXCR6              3   45984973   45989845      7       3  238371       1.4556   -5.3413e-05       1.4557
XCR1               3   46062291   46068979      4       2  253105      -1.5672   -5.3413e-05      -1.5671
CCR1               3   46243200   46249832      4       1  250286      -0.3496   -5.3413e-05     -0.34955
CCR3               3   46283872   46308197     18       4  249374      0.35983   -5.3413e-05      0.35989
CCR2               3   46395235   46402413      1       1   54210      0.86472   -5.3413e-05      0.86478
LTF                3   46477496   46506598     22       3  241743      -2.0614   -5.3413e-05      -2.0614
RTP3               3   46539485   46542439      6       1  253104      -1.7344   -5.3413e-05      -1.7343
LRRC2              3   46556875   46621589     53      10  244573      -1.5454   -5.3413e-05      -1.5454
TDGF1              3   46616045   46623953      6       3  246081     -0.80691   -5.3413e-05     -0.80685
LOC100132146       3   46653925   46668033     25       5  233340       1.2415   -5.3413e-05       1.2416
ALS2CL             3   46710485   46735194     34       6  245851       1.1145   -5.3413e-05       1.1145
TMIE               3   46742823   46752413      4       1  239221       1.9231   -5.3413e-05       1.9232
PRSS50             3   46753606   46759373      2       1  249041       1.2978   -5.3413e-05       1.2979
PRSS46             3   46761073   46777921     11       1  238075       1.2916   -5.3413e-05       1.2916
PRSS45             3   46783581   46790143      3       2  243356       2.2018   -5.3413e-05       2.2018
PRSS42             3   46871894   46875585      3       1  225331       3.0774   -5.3413e-05       3.0775
MYL3               3   46899357   46904973      9       2  252715       2.8743   -5.3413e-05       2.8743
PTH1R              3   46919236   46945289     10       2  217019       1.2136   -5.3413e-05       1.2136
CCDC12             3   46963220   47023500     24       3  231961      0.39421   -5.3413e-05      0.39426
NBEAL2             3   47021173   47051194     12       2  239515        1.666   -5.3413e-05        1.666
SETD2              3   47057898   47205467     39       3  245632       1.3484   -5.3413e-05       1.3485
KIF9               3   47269516   47324337     17       2  241847       1.7101   -5.3413e-05       1.7101
KLHL18             3   47324116   47388306     15       2  245863       1.6669   -5.3413e-05       1.6669
PTPN23             3   47422383   47454931      8       2  235826       1.7866   -5.3413e-05       1.7867
SCAP               3   47455184   47517603     12       1  251917       1.6035   -5.3413e-05       1.6035
ELP6               3   47537130   47555199      7       2  240397       1.2865   -5.3413e-05       1.2865
CSPG5              3   47603728   47621730      6       1  241706       3.1755   -5.3413e-05       3.1756
SMARCC1            3   47627378   47823405     47       2  249888       2.7717   -5.3413e-05       2.7717
DHX30              3   47844399   47891686     10       1  251941       2.9694   -5.3413e-05       2.9695
MAP4               3   47892180   48130769     63       4  245172       1.7116   -5.3413e-05       1.7116
CDC25A             3   48198668   48230153     10       3  229374      -1.3006   -5.3413e-05      -1.3006
ZNF589             3   48282596   48312480     10       1  244813      -1.7273   -5.3413e-05      -1.7272
NME6               3   48335485   48343719      5       1  250770      -2.2344   -5.3413e-05      -2.2343
SPINK8             3   48348336   48369831     11       1  235438      -1.9711   -5.3413e-05      -1.9711
FBXW12             3   48413709   48436190     14       1  239157      -1.8867   -5.3413e-05      -1.8866
PLXNB1             3   48445261   48471460     11       1  247603      -1.9286   -5.3413e-05      -1.9285
CCDC51             3   48473580   48481529      5       1  241896     -0.70743   -5.3413e-05     -0.70738
TMA7               3   48481686   48485537      2       1  253158      -1.7218   -5.3413e-05      -1.7218
ATRIP              3   48488114   48509044      4       1  243529      -2.3349   -5.3413e-05      -2.3348
TREX1              3   48506919   48509044      2       1  233835      -1.8602   -5.3413e-05      -1.8602
SHISA5             3   48509197   48542259     11       3  240050     -0.59494   -5.3413e-05     -0.59488
PFKFB4             3   48555117   48598607     17       3  230711     0.065836   -5.3413e-05     0.065889
UCN2               3   48599151   48601201      2       1  213663      0.60447   -5.3413e-05      0.60453
COL7A1             3   48601506   48632593      8       3  241177      0.62757   -5.3413e-05      0.62762
UQCRC1             3   48636432   48647391      2       1  235161       -1.134   -5.3413e-05      -1.1339
TMEM89             3   48658275   48659189      2       1  213199     -0.20001   -5.3413e-05     -0.19996
SLC26A6            3   48663156   48672926      5       1  240115     -0.38598   -5.3413e-05     -0.38593
CELSR3             3   48673896   48700348      7       1  241355     -0.54128   -5.3413e-05     -0.54122
NCKIPSD            3   48700419   48723366      7       2  247955       1.2263   -5.3413e-05       1.2263
IP6K2              3   48725436   48754711     13       3  246762       2.1928   -5.3413e-05       2.1929
PRKAR2A            3   48784017   48885270     19       2  243150       2.6097   -5.3413e-05       2.6097
SLC25A20           3   48894356   48936426     11       1  252007       2.5995   -5.3413e-05       2.5995
ARIH2              3   48956265   49022974     17       2  252245       2.5514   -5.3413e-05       2.5515
P4HTM              3   49027304   49044582      4       1  252962       2.9025   -5.3413e-05       2.9026
WDR6               3   49044637   49053386      2       1  249436       2.8656   -5.3413e-05       2.8657
DALRD3             3   49052832   49058504      2       1  253152       2.4067   -5.3413e-05       2.4067
IMPDH2             3   49061758   49066875      1       1  247653      -0.7699   -5.3413e-05     -0.76985
QRICH1             3   49067140   49131504      7       1  246905       2.3903   -5.3413e-05       2.3904
QARS               3   49133365   49142562      3       1  232206       2.6971   -5.3413e-05       2.6972
USP19              3   49145479   49158371      4       1  240450        3.192   -5.3413e-05       3.1921
CCDC71             3   49199968   49203785      4       1  229459      0.54679   -5.3413e-05      0.54685
KLHDC8B            3   49208987   49213919      5       2  252225      0.47471   -5.3413e-05      0.47477
C3orf84            3   49215069   49229291      6       3  248618      -1.2715   -5.3413e-05      -1.2714
CCDC36             3   49235861   49295636     15       2  248745      -0.4012   -5.3413e-05     -0.40115
C3orf62            3   49306030   49314864      2       1  252729     -0.76135   -5.3413e-05     -0.76129
USP4               3   49314577   49377536     20       4  240234      0.40427   -5.3413e-05      0.40432
GPX1               3   49394609   49395791      1       1  250184     -0.21018   -5.3413e-05     -0.21013
RHOA               3   49396569   49449526     18       3  239962      -1.1712   -5.3413e-05      -1.1711
TCTA               3   49449639   49453909      3       1  234743      -1.3332   -5.3413e-05      -1.3331
AMT                3   49454211   49460111      5       1  248508      -1.1591   -5.3413e-05       -1.159
NICN1              3   49459766   49466777      3       1  234340     -0.35831   -5.3413e-05     -0.35826
DAG1               3   49506136   49573051     25       4  248511      -1.5789   -5.3413e-05      -1.5788
BSN                3   49591922   49708982     48       5  246355      -1.0813   -5.3413e-05      -1.0812
APEH               3   49711427   49720936      4       2  253166      -1.2289   -5.3413e-05      -1.2288
MST1               3   49721380   49726196      3       1  247483       -1.254   -5.3413e-05      -1.2539
RNF123             3   49726950   49758962     13       2  251165      -1.2389   -5.3413e-05      -1.2389
IP6K1              3   49761728   49823973     21       3  245072      -1.1795   -5.3413e-05      -1.1794
CDHR4              3   49828165   49837254      3       2  249114     -0.70582   -5.3413e-05     -0.70577
UBA7               3   49842638   49851391      1       1  253169      -2.1133   -5.3413e-05      -2.1133
TRAIP              3   49866028   49893992     16       3  243675      -1.0745   -5.3413e-05      -1.0745
CAMKV              3   49895414   49907655      9       2  249063      -1.3055   -5.3413e-05      -1.3055
MST1R              3   49924435   49941311      8       3  236807     -0.27992   -5.3413e-05     -0.27986
MON1A              3   49946302   49967445      4       1  252682      -2.8525   -5.3413e-05      -2.8525
RBM6               3   49977474   50114685     59       5  247481      -1.6362   -5.3413e-05      -1.6361
RBM5               3   50126341   50156397     10       2  232301     -0.57137   -5.3413e-05     -0.57132
SEMA3F             3   50192562   50226508     14       3  248166      -1.1801   -5.3413e-05      -1.1801
GNAT1              3   50229043   50235129      1       1  252975       -2.546   -5.3413e-05       -2.546
SLC38A3            3   50242692   50258406      5       2  247415    -0.069949   -5.3413e-05    -0.069896
GNAI2              3   50264120   50296786     11       3  237129      0.18895   -5.3413e-05      0.18901
SEMA3B             3   50305040   50314573      1       1  253214      0.47978   -5.3413e-05      0.47983
LSMEM2             3   50316458   50325545      1       1  253213      0.52626   -5.3413e-05      0.52631
IFRD2              3   50325163   50330648      1       1  238918      -1.3654   -5.3413e-05      -1.3653
HYAL3              3   50330259   50336899      2       1  240692      -1.0012   -5.3413e-05      -1.0011
HYAL1              3   50337320   50349812      1       1  246894       4.0746   -5.3413e-05       4.0746
HYAL2              3   50355221   50360281      1       1  239627      0.35996   -5.3413e-05      0.36001
RASSF1             3   50367217   50378367      4       2  231025     -0.55065   -5.3413e-05      -0.5506
ZMYND10            3   50378537   50383459      1       1  252224      0.42154   -5.3413e-05      0.42159
CYB561D2           3   50388265   50391500      1       1  253188      0.67848   -5.3413e-05      0.67854
CACNA2D2           3   50400230   50540892     90       8  235951       4.5482   -5.3413e-05       4.5482
C3orf18            3   50595456   50608458      2       1  253213       4.4898   -5.3413e-05       4.4899
HEMK1              3   50606583   50622422      2       1  251733       4.1775   -5.3413e-05       4.1775
CISH               3   50643885   50649262      1       1  252951       5.4672   -5.3413e-05       5.4672
MAPKAPK3           3   50649293   50686728     23       3  240956       4.9199   -5.3413e-05         4.92
DOCK3              3   50712672   51421629    324       6  230226       4.4427   -5.3413e-05       4.4427
RBM15B             3   51428699   51435339      1       1  253170       4.2771   -5.3413e-05       4.2772
VPRBP              3   51433298   51534018     10       3  249699       4.0959   -5.3413e-05       4.0959
RAD54L2            3   51575596   51697634     18       4  219275       4.0254   -5.3413e-05       4.0255
TEX264             3   51705191   51738339      5       1  248313        3.863   -5.3413e-05       3.8631
IQCF6              3   51812577   51813256      1       1  230018       2.1631   -5.3413e-05       2.1632
IQCF3              3   51860899   51864874      3       1  210387     -0.45661   -5.3413e-05     -0.45655
IQCF2              3   51895645   51897440      1       1  196882     -0.89133   -5.3413e-05     -0.89128
IQCF5              3   51907737   51909600      1       1  192810      -1.8125   -5.3413e-05      -1.8125
IQCF1              3   51928892   51937386      3       1  165198      0.67106   -5.3413e-05      0.67111
RRP9               3   51967442   51975957      2       1  158337      0.70661   -5.3413e-05      0.70666
PARP3              3   51976297   51982883      2       1  147993      0.93808   -5.3413e-05      0.93813
GPR62              3   51989330   51991520      2       1  152025       1.5745   -5.3413e-05       1.5746
PCBP4              3   51991470   52001482      4       1  144267      0.33215   -5.3413e-05       0.3322
ABHD14B            3   52002526   52008646      1       1  141970      0.87228   -5.3413e-05      0.87233
ABHD14A            3   52007700   52015216      1       1  154644      0.25893   -5.3413e-05      0.25898
DUSP7              3   52082935   52090461      2       1  215921       1.8399   -5.3413e-05         1.84
POC1A              3   52109249   52188720     31       3  241810       1.3434   -5.3413e-05       1.3435
ALAS1              3   52232099   52248343     11       1  252105       2.6318   -5.3413e-05       2.6318
TLR9               3   52255096   52260179      2       1  195129       3.1066   -5.3413e-05       3.1067
TWF2               3   52262626   52273183      5       2  247318       3.2024   -5.3413e-05       3.2025
PPM1M              3   52279782   52284615      1       1  241508       1.4257   -5.3413e-05       1.4258
WDR82              3   52288438   52312659      9       2  244810       2.3238   -5.3413e-05       2.3239
GLYCTK             3   52321836   52329272      3       1  220489       1.8106   -5.3413e-05       1.8107
DNAH1              3   52350335   52434513     33       4  243559        1.951   -5.3413e-05       1.9511
BAP1               3   52435020   52444121      3       1  251700      0.47045   -5.3413e-05      0.47051
PHF7               3   52444577   52457657      4       2  251150       5.0125   -5.3413e-05       5.0125
SEMA3G             3   52467268   52479112      5       2  247976       3.5755   -5.3413e-05       3.5756
NISCH              3   52489524   52527088     26       2  245568      0.37425   -5.3413e-05       0.3743
STAB1              3   52529354   52558512     15       4  244651       4.8383   -5.3413e-05       4.8383
NT5DC2             3   52558385   52569093      5       1  240818       3.9153   -5.3413e-05       3.9153
SMIM4              3   52570002   52574586      1       1  253108       5.0967   -5.3413e-05       5.0967
PBRM1              3   52579368   52719866     62       3  244878       4.6227   -5.3413e-05       4.6228
GNL3               3   52719936   52728513      5       2  248854       4.6754   -5.3413e-05       4.6755
GLT8D1             3   52728500   52740099      4       1  239387       4.5743   -5.3413e-05       4.5744
SPCS1              3   52739792   52742198      2       1  253013       4.4701   -5.3413e-05       4.4702
NEK4               3   52744796   52804965     17       3  236675       4.6154   -5.3413e-05       4.6155
ITIH1              3   52811602   52826084     19       2  244029       5.3476   -5.3413e-05       5.3477
ITIH3              3   52828784   52843025     16       4  200525       5.6317   -5.3413e-05       5.6317
ITIH4              3   52847006   52864717     19       4  237827       5.7721   -5.3413e-05       5.7721
TMEM110-MUSTN1     3   52867131   52931597     48       5  249952       5.8469   -5.3413e-05        5.847
TMEM110            3   52870772   52931597     46       5  249853       5.7913   -5.3413e-05       5.7913
SFMBT1             3   52933221   53080089     73       8  245872       6.0863   -5.3413e-05       6.0864
RFT1               3   53122499   53164480     33       3  241106       5.8909   -5.3413e-05        5.891
PRKCD              3   53195223   53226733     23       6  232861       1.8775   -5.3413e-05       1.8776
TKT                3   53258723   53290130     55       8  243444     -0.80484   -5.3413e-05     -0.80479
DCP1A              3   53317443   53381654     22       4  251663    -0.059859   -5.3413e-05    -0.059805
CACNA1D            3   53529076   53847179    328      43  244856      0.50018   -5.3413e-05      0.50023
CHDH               3   53850324   53880420     20       5  237672    -0.058984   -5.3413e-05     -0.05893
IL17RB             3   53880577   53899827     23       6  212646      0.80076   -5.3413e-05      0.80081
ACTR8              3   53898959   53916229     18       4  247367      0.47683   -5.3413e-05      0.47688
SELK               3   53919226   53925989      4       1  251727      0.46739   -5.3413e-05      0.46745
CACNA2D3           3   54156620   55108584   1030     123  242696      0.77402   -5.3413e-05      0.77407
LRTM1              3   54952264   55001115     65       9  244591      0.48381   -5.3413e-05      0.48386
WNT5A              3   55499743   55521670     10       2  237009        3.905   -5.3413e-05        3.905
ERC2               3   55542336   56502391    879      68  245651       1.0042   -5.3413e-05       1.0043
CCDC66             3   56591184   56655864     40       7  247679       6.0166   -5.3413e-05       6.0166
FAM208A            3   56654160   56717270     56       9  246885         6.44   -5.3413e-05         6.44
ARHGEF3            3   56761446   57113336    335      58  242214       3.1294   -5.3413e-05       3.1294
SPATA12            3   57094469   57109460      7       2  245569      0.24483   -5.3413e-05      0.24489
IL17RD             3   57124010   57204345     62      11  247063     -0.15446   -5.3413e-05     -0.15441
HESX1              3   57231866   57261656     10       2  249312      -2.0755   -5.3413e-05      -2.0755
APPL1              3   57261765   57307499     18       2  244920      -1.9315   -5.3413e-05      -1.9314
ASB14              3   57302379   57326753     16       4  237896       -1.813   -5.3413e-05       -1.813
DNAH12             3   57327727   57530071    155      15  247451       2.4489   -5.3413e-05        2.449
PDE12              3   57541882   57640704     43       5  241702       4.7588   -5.3413e-05       4.7588
ARF4               3   57557090   57583215     18       3  252015       4.7937   -5.3413e-05       4.7938
DENND6A            3   57611181   57678816     33       6  230485       4.8448   -5.3413e-05       4.8449
SLMAP              3   57741948   57915597     66       8  249208       1.6871   -5.3413e-05       1.6872
FLNB               3   57994127   58157982    178      21  243686       3.8552   -5.3413e-05       3.8553
DNASE1L3           3   58178353   58196730     26       6  237027      0.89253   -5.3413e-05      0.89258
ABHD6              3   58223233   58280463     45       8  247413      -0.1561   -5.3413e-05     -0.15605
RPP14              3   58291972   58305920     23       5  249499      0.52366   -5.3413e-05      0.52371
PXK                3   58318617   58411815    123      11  246637       0.6381   -5.3413e-05      0.63816
PDHB               3   58413357   58419579      4       1  239327      0.16422   -5.3413e-05      0.16427
KCTD6              3   58477823   58488087      6       2  250859     -0.94891   -5.3413e-05     -0.94886
ACOX2              3   58490863   58522929     24       8  237312       2.1992   -5.3413e-05       2.1993
FAM107A            3   58549841   58613337     70      16  235215      -1.6481   -5.3413e-05       -1.648
FAM3D              3   58619670   58652575     40       6  244176      -2.7792   -5.3413e-05      -2.7792
C3orf67            3   58720199   59035804    104       8  236222      -1.0653   -5.3413e-05      -1.0653
FHIT               3   59735036   61237133   2348     270  239999       -1.645   -5.3413e-05      -1.6449
PTPRG              3   61547243   62280573    902     115  241450       5.0004   -5.3413e-05       5.0005
C3orf14            3   62304648   62321888      6       3  225456      -2.0491   -5.3413e-05       -2.049
CADPS              3   62384021   62861064    700      84  238592      -1.6659   -5.3413e-05      -1.6658
SYNPR              3   63263914   63602597    553      65  238419     -0.32635   -5.3413e-05      -0.3263
SNTN               3   63638344   63650893     32       4  246770      -1.3535   -5.3413e-05      -1.3535
THOC7              3   63819546   63849597      7       2  246871     -0.65224   -5.3413e-05     -0.65219
ATXN7              3   63849785   63989240     62       9  242072      -1.4367   -5.3413e-05      -1.4366
PSMD6              3   63996225   64009686     15       4  233643     -0.77475   -5.3413e-05      -0.7747
PRICKLE2           3   64079526   64253859    278      32  237969      -2.4349   -5.3413e-05      -2.4349
ADAMTS9            3   64501330   64673676    219      30  233329      0.18952   -5.3413e-05      0.18957
MAGI1              3   65339200   66024511    757      93  241672       1.9287   -5.3413e-05       1.9288
LRIG1              3   66429221   66551446    113      18  228519     -0.89464   -5.3413e-05     -0.89459
KBTBD8             3   67048727   67061634      8       2  241241      0.20628   -5.3413e-05      0.20633
SUCLG2             3   67410884   67705038    382      38  244372    -0.086239   -5.3413e-05    -0.086186
FAM19A1            3   68040734   68594772    629      50  244130    -0.055969   -5.3413e-05    -0.055916
FAM19A4            3   68780915   68981761    242      22  243319       2.3427   -5.3413e-05       2.3427
EOGT               3   69024363   69063112     17       4  246597     0.020818   -5.3413e-05     0.020872
TMF1               3   69068978   69101484     27       5  245070     0.020419   -5.3413e-05     0.020473
UBA3               3   69103881   69129524     20       4  241627      0.28531   -5.3413e-05      0.28537
ARL6IP5            3   69134090   69155239     14       4  236413     -0.96172   -5.3413e-05     -0.96167
LMOD3              3   69156039   69171746     10       3  210909      0.31137   -5.3413e-05      0.31142
FRMD4B             3   69219146   69435430    200      38  237580      -1.3278   -5.3413e-05      -1.3278
MITF               3   69788586   70017488    126       8  244932       -1.906   -5.3413e-05       -1.906
FOXP1              3   71003865   71633140    485      80  243571       3.5898   -5.3413e-05       3.5899
EIF4E3             3   71728440   71803924     76      17  234297      -0.9539   -5.3413e-05     -0.95385
PROK2              3   71820806   71834357      7       3  246311     -0.54697   -5.3413e-05     -0.54691
RYBP               3   72423744   72495774     23       6  229709       6.1214   -5.3413e-05       6.1215
SHQ1               3   72798426   72897631     43       3  238954      -1.3222   -5.3413e-05      -1.3221
GXYLT2             3   72937385   73024525     94      12  249397     -0.10892   -5.3413e-05     -0.10887
PPP4R2             3   73045985   73118349     87       4  246584       1.6339   -5.3413e-05       1.6339
EBLN2              3   73110810   73112488      5       1  206375       1.9979   -5.3413e-05       1.9979
PDZRN3             3   73431582   73674072    258      37  246000      -1.6782   -5.3413e-05      -1.6781
CNTN3              3   74311719   74663587    312      45  235876     -0.86227   -5.3413e-05     -0.86222
ZNF717             3   75785868   75834709      9       3  228419      -0.5401   -5.3413e-05     -0.54005
ROBO2              3   75955845   77699115   1643     154  240196      0.57261   -5.3413e-05      0.57266
ROBO1              3   78646388   79817059    759      57  244837    -0.091798   -5.3413e-05    -0.091745
GBE1               3   81538850   81810950    187      17  241804      0.97328   -5.3413e-05      0.97334
CADM2              3   85008133   86123579    863      37  246265       2.4344   -5.3413e-05       2.4345
VGLL3              3   86987123   87040412     30       5  211958       1.5723   -5.3413e-05       1.5724
CHMP2B             3   87276413   87304698     22       5  252458      -3.0913   -5.3413e-05      -3.0913
POU1F1             3   87308783   87325737     10       2  246568      -2.3214   -5.3413e-05      -2.3213
HTR1F              3   87841929   88043964    144      11  240658       2.1423   -5.3413e-05       2.1423
CGGBP1             3   88101100   88199016     67       2  247848      0.74627   -5.3413e-05      0.74633
ZNF654             3   88108394   88193814     50       2  247526      0.66498   -5.3413e-05      0.66503
C3orf38            3   88198875   88207115      8       1  252421      0.88864   -5.3413e-05      0.88869
LOC100506944       3   88387565   88516299    115      11  238234     0.090634   -5.3413e-05     0.090688
EPHA3              3   89156674   89531284    256      17  246231      -1.2469   -5.3413e-05      -1.2469
PROS1              3   93591881   93692934     26       8  228609      -1.0328   -5.3413e-05      -1.0328
ARL13B             3   93698983   93774522      9       4  249301     -0.70124   -5.3413e-05     -0.70119
STX19              3   93733078   93747460      4       2  253195     -0.98954   -5.3413e-05     -0.98949
NSUN3              3   93781855   93845630     18       4  242942      -1.8263   -5.3413e-05      -1.8262
EPHA6              3   96533425   97467786    413      42  233434      -1.5687   -5.3413e-05      -1.5686
ARL6               3   97483365   97520086     15       3  249319     0.032226   -5.3413e-05     0.032279
CRYBG3             3   97540537   97663830     79       7  244683     -0.11942   -5.3413e-05     -0.11937
MINA               3   97660661   97691295      9       3  246099      0.13402   -5.3413e-05      0.13407
GABRR3             3   97705527   97754148     55       8  246386     -0.90233   -5.3413e-05     -0.90227
OR5AC2             3   97806017   97806946      1       1  239558       -2.621   -5.3413e-05      -2.6209
